,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,25.39,73,40,27.0,RU,1702598091
1,ribeira grande,38.5167,-28.7,63.77,84,76,17.0,PT,1702598091
2,port-aux-francais,-49.35,70.2167,42.84,81,28,25.7,TF,1702598092
3,mancio lima,-7.6142,-72.8958,80.67,89,40,3.44,BR,1702598092
4,waitangi,-43.9535,-176.5597,53.15,65,62,7.9,NZ,1702598092
5,dudinka,69.4058,86.1778,-7.38,94,100,18.01,RU,1702598092
6,wailua homesteads,22.0669,-159.378,77.43,61,100,26.46,US,1702598092
7,arraial do cabo,-22.9661,-42.0278,76.96,78,0,17.27,BR,1702597957
8,kone,-21.0595,164.8658,87.33,43,11,4.97,NC,1702598092
9,grytviken,-54.2811,-36.5092,37.98,69,9,4.65,GS,1702598093
10,invercargill,-46.4,168.35,69.98,54,75,7.49,NZ,1702597841
11,trogir,43.5125,16.2517,53.8,47,0,10.36,HR,1702598093
12,tolanaro,-25.0319,46.9987,78.87,83,20,20.71,MG,1702598093
13,yellowknife,62.456,-114.3525,3.72,93,20,8.05,CA,1702598093
14,meadow lake,34.8014,-106.5436,44.08,69,22,4.38,US,1702598093
15,stanley,54.868,-1.6985,43.29,93,20,10.36,GB,1702598094
16,adamstown,-25.066,-130.1015,74.19,80,13,11.65,PN,1702598094
17,isafjordur,66.0755,-23.124,31.55,79,58,27.13,IS,1702598094
18,teguise,29.0605,-13.564,61.02,68,20,12.66,ES,1702597957
19,hawaiian paradise park,19.5933,-154.9731,75.04,78,75,16.11,US,1702598094
20,albany,42.6001,-73.9662,33.73,68,56,1.99,US,1702598094
21,pisco,-13.7,-76.2167,71.65,78,0,18.41,PE,1702598095
22,blackmans bay,-43.0167,147.3167,63.52,51,61,1.01,AU,1702598095
23,siem reap,13.5,104.0,74.75,76,77,3.24,KH,1702598095
24,el calafate,-50.3408,-72.2768,51.37,57,81,10.47,AR,1702598095
25,brisas de zicatela,15.8369,-97.0419,88.32,48,40,4.61,MX,1702598095
26,monroeville,40.4212,-79.7881,41.25,55,0,8.05,US,1702597956
27,longyearbyen,78.2186,15.6401,24.64,86,75,16.11,SJ,1702598095
28,klyuchi,52.2667,79.1667,-7.19,84,14,3.94,RU,1702598096
29,edinburgh of the seven seas,-37.0676,-12.3116,62.4,96,79,23.04,SH,1702598096
30,wareham,50.6889,-2.1104,48.63,84,6,1.01,GB,1702598096
31,st. john's,47.5649,-52.7093,25.79,67,75,24.16,CA,1702598027
32,hamilton,39.1834,-84.5333,45.45,49,0,3.44,US,1702597814
33,kindu,-2.95,25.95,70.21,99,96,1.5,CD,1702598097
34,juneau,58.3019,-134.4197,41.0,93,100,25.32,US,1702598097
35,tiksi,71.6872,128.8694,3.56,96,100,8.1,RU,1702598097
36,vuktyl,63.8567,57.3094,5.0,96,100,5.77,RU,1702598097
37,bel ombre,-4.6167,55.4167,84.04,74,40,8.05,SC,1702598097
38,iqaluit,63.7506,-68.5145,-1.41,90,100,5.91,CA,1702598097
39,mukalla,14.5425,49.1242,72.86,58,47,3.4,YE,1702598072
40,port lincoln,-34.7333,135.8667,64.69,56,0,7.92,AU,1702598098
41,aasiaat,68.7098,-52.8699,-0.85,96,97,7.29,GL,1702598098
42,cholpon-ata,42.6494,77.0823,21.25,42,35,6.8,KG,1702598098
43,lihue,21.9789,-159.3672,78.04,55,100,26.46,US,1702598098
44,prince george,53.9166,-122.753,27.63,95,100,0.0,CA,1702598098
45,preobrazheniye,42.9019,133.9064,19.85,38,100,5.21,RU,1702598098
46,sorong,-0.8833,131.25,83.05,75,67,4.76,ID,1702598099
47,berdigestyakh,62.0989,126.6992,-18.76,92,100,10.78,RU,1702598099
48,puerto ayora,-0.7393,-90.3518,76.15,87,76,8.75,EC,1702598099
